,Baseline,Segmented (Weighted),Advanced Stacked Ensemble
RMSE,332.8066551993924,237.298377564741,195.0896444439971
MAE,155.38264185868402,106.33223983031202,80.08227497476967
R2,0.8466818651724508,0.8860831298576417,0.9473160951239422
MAPE (%),0.12791583776842147,0.09642142803931666,0.0686251600226094
