,Baseline,Segmented (Weighted),Stacked Ensemble
RMSE,303.35027789607983,209.26479377201596,162.3945217078909
MAE,147.70737934697624,93.42424861041269,56.30381247678418
R2,0.8726208587238702,0.9026967488227088,0.9634950068378588
