,Baseline,Segmented Models (Weighted),Stacked Model
RMSE,302.83528368399146,242.69007980594358,216.99642453228165
MAE,156.7350213348451,137.42963713461168,120.30871231172713
R2 Score,0.8730529917496512,0.9150529606224825,0.9348199516162174
